question,answer,loss_before,logit_before,feat_before,logit_after,feat_after,euclid_drift
"In the Wikipedia excerpt: 'The 3rd Critics' Choice Super Awards, presented by the Critics Choice Association and honoring the best in genre fiction film and television. The nominees were announced on February 22, 2023. The winners were announced on March 16, 2023.The Batman led the film field with six nominations, while The Boys, Evil, House of the Dragon, and What We Do in the Shadows, tied for the', what is the most important word as per explainability?",six,10.329276,4.531831,-1.090629,-31.414745,-0.481802,115.909378
"In the Wikipedia excerpt: 'The Pocklington Iron Age burial ground is a prehistoric cemetery discovered in 2014 on the outskirts of Pocklington in the East Riding of Yorkshire, England. Excavations carried out on an ongoing basis since then, have uncovered more than 160 skeletons and more than 70 square barrows thought to date to the Middle Iron Age that are attributed to the Arras culture, an ancient British', what is the most important word as per explainability?",2014,15.475481,1.111612,-1.136642,-42.216496,-3.240221,110.675140
"In the Wikipedia excerpt: 'On 2 April 2023, a bombing occurred in the Street Food Bar №1 café on Universitetskaya Embankment in Saint Petersburg, Russia. Russian military blogger Vladlen Tatarsky, real name Maxim Fomin, died as a result of the explosion and 42 people were injured, 24 of whom were hospitalized, including six in critical conditions.Russia accused Ukraine of being behind the attack and labelled it a ""terrorist', what is the most important word as per explainability?",Russia,5.773443,9.541451,0.134545,-47.387497,-1.225302,117.483177
"In the Wikipedia excerpt: 'The 16th Houston Film Critics Society Awards were announced on February 18, 2023, at the Midtown Arts & Theater Center Houston (MATCH) in Texas. The nominations were announced on January 10, 2023, with The Banshees of Inisherin and Everything Everywhere All at Once leading the nominations with nine each. Both films won the most awards with three each, with Everything Everywhere All at Once', what is the most important word as per explainability?",16th,14.669398,2.797275,-1.097603,-19.436363,0.843104,117.376846
"In the Wikipedia excerpt: 'Music Awards Ceremony (MAC) 2023, presented by Sky Music, was held on 25 and 26 January 2023 to recognize the best in the music of former Yugoslav countries. The ceremony took place at Štark Arena in Belgrade. Following a two-year break due to the COVID-19 pandemic, the third MAC was announced on 27 November 2022. The event for the first time included two nights,', what is the most important word as per explainability?",MAC,15.295949,2.211919,-0.454702,-22.099546,-0.599607,117.851768
"In the Wikipedia excerpt: 'A constitutional referendum was planned to be held in Mali on 19 March 2023. It was initially scheduled for 9 July 2017. However, in late June it was postponed with no date set, before being revived in mid-April 2021, with a date set of 31 October 2021. Due to the 2021 Malian coup d'état it was indefinitely postponed, with plans for it to be', what is the most important word as per explainability?",Mali,11.894827,6.478893,-0.963080,-31.209343,-0.772855,117.537643
"In the Wikipedia excerpt: 'The SIM Registration Act, officially designated as Republic Act No. 11934 and commonly referred to as the SIM card law, is a Philippine law mandating the registration of SIM cards before activation. Under the measure, mobile device users, must register their SIM cards, whether prepaid or postpaid. The law was enacted intending to curb cybercriminal activities. The law also aims to address issues related', what is the most important word as per explainability?",11934,18.098639,-1.099500,-0.564962,-26.977024,-3.414420,115.675819
"In the Wikipedia excerpt: 'The Cuban thaw (Spanish: Deshielo cubano) was the normalization of Cuba–United States relations that began in December 2014 ending a 54-year stretch of hostility between the nations. In March 2016, Barack Obama became the first U.S. president to visit Cuba since Calvin Coolidge, in 1928.On December 17, 2014, U.S. President Barack Obama and Cuban leader Raúl Castro announced the beginning of the process of', what is the most important word as per explainability?",Cuban,7.943801,7.565111,0.621725,-17.645807,-2.964958,115.753601
"In the Wikipedia excerpt: 'Presidential elections are scheduled to be held in the Maldives on Monday 9 September 2023. Incumbent president Ibrahim Mohamed Solih will be seeking re-election, after defeating Speaker of the People's Majlis Mohamed Nasheed in the Maldivian Democratic Party primaries. Former president Abdulla Yameen of the Progressive Party of Maldives and former Minister of Defence and National Security, Mohamed Nazim of the Maldives National Party', what is the most important word as per explainability?",Maldives,11.323566,6.630338,-1.786161,-18.231876,-1.618668,121.423080
"In the Wikipedia excerpt: 'International reactions to the annexation of Crimea by the Russian Federation have largely been condemnatory of Russia's actions, supportive of Ukraine's sovereignty and territorial integrity, and supportive of finding a quick end to the crisis. The United States and the European Union responded by enacting sanctions against Russia for its role in the crisis, and urged Russia to withdraw. Russia has accused the United', what is the most important word as per explainability?",Crimea,12.814898,4.803843,-0.804109,-47.090000,-1.719324,115.758049
"In the Wikipedia excerpt: 'The 2014 Berlin Marathon was the 41st edition of the Berlin Marathon. The marathon took place in Berlin, Germany, on 28 September 2014 and was the fourth World Marathon Majors race of the year. The men's race was won by Kenyan athlete Dennis Kimetto in a world record time of 2:02:57, breaking the previous record of Wilson Kipsang by 26 seconds. Kimetto's performance means', what is the most important word as per explainability?",2014,14.630735,2.493047,-0.287252,-33.130997,-2.110304,110.717216
"In the Wikipedia excerpt: 'The 28th Critics' Choice Awards were presented on January 15, 2023, at the Fairmont Century Plaza Hotel in Los Angeles, California, honoring the finest achievements of filmmaking and television programming in 2022. The ceremony was broadcast on The CW and hosted by Chelsea Handler, taking over the reins from Taye Diggs who had hosted the show consecutively in the previous four years.Like in the', what is the most important word as per explainability?",28th,11.830372,3.926449,-0.999793,-24.618486,-3.624115,117.178932
"In the Wikipedia excerpt: 'Local elections are being held in four municipalities in the north of Kosovo on 23 April 2023. They were initially scheduled to be held in December 2022 but were subsequently postoned. The elections are being held in the four Serb-majority municipalities of Leposavić, North Mitrovica, Zubin Potok and Zvečan, located in North Kosovo. The elections are being boycotted by the biggest Serb political party', what is the most important word as per explainability?",four,16.511772,1.770466,-0.456349,-37.912315,0.077547,116.056335
"In the Wikipedia excerpt: 'China–Brazil Earth Resources Satellite 4 (CBERS-4), also known as Ziyuan I-04 or Ziyuan 1E, is a remote sensing satellite intended for operation as part of the China–Brazil Earth Resources Satellite program between the Chinese Center for Resources Satellite Data and Application and Brazilian National Institute for Space Research. The fifth CBERS satellite to fly, it was successfully launched on 7 December 2014. It replaces', what is the most important word as per explainability?",China,14.063103,3.709415,-1.090586,-17.967861,-0.196812,119.454414
"In the Wikipedia excerpt: 'The 10th Platino Awards, presented by the Entidad de Gestión de Derechos de los Productores Audiovisuales (EGEDA) and the Federación Iberoamericana de Productores Cinematográficos y Audiovisuales (FIPCA), took place on 22 April 2023 at IFEMA Palacio Municipal in Madrid, Spain, to recognize the best in Ibero-American film and television of 2022. The ceremony was hosted by actors Carolina Gaitán, Omar Chaparro and Paz Vega,', what is the most important word as per explainability?",10th,11.423849,5.370105,-0.346316,-17.270752,-1.389082,115.843636
"In the Wikipedia excerpt: 'EgyptSat 2 (also called MisrSat 2) was Egypt's second remote sensing Earth observation satellite. It was built by the Russian RSC Energia and the Egyptian NARSS while the incorporated cameras and payload was developed by OAO Peleng and NIRUP Geoinformatsionnye Sistemy in Belarus.A frameless spacecraft had been utilized in EgyptSat 2; it was an innovative technology being first time used in Russia.EgyptSat 2 was', what is the most important word as per explainability?",EgyptSat,6.793609,10.092640,-1.128432,-40.510437,-3.465778,120.258018
"In the Wikipedia excerpt: 'Operation Full Disclosure (Hebrew: מבצע חשיפה מלאה) was a military operation carried out by the Israel Defense Forces on March 5, 2014, in the Red Sea. After days of surveillance far out to sea, Israeli Navy Shayetet 13 commandos seized the Iranian-owned and Panamanian-registered merchant vessel Klos C that had set sail from Iran, heading for Port Sudan via Iraq. On board, the commandos', what is the most important word as per explainability?",Hebrew,11.628012,5.551387,-0.108771,-31.195757,0.684557,120.223518
"In the Wikipedia excerpt: 'Miss USA 2023 will be the 72nd Miss USA pageant that will be held in 2023 at the Grand Sierra Resort in Reno, Nevada. Morgan Romano of North Carolina will crown her successor at the end of the event. The winner will go on to represent the United States at Miss Universe 2023 competition which is scheduled to be held in El Salvador at', what is the most important word as per explainability?",72nd,16.587065,0.670440,-0.927499,-31.567270,-1.029805,120.292786
"In the Wikipedia excerpt: 'Occupy Ghana also known as Occupy Flagstaff House is a protest or pressure movement in Ghana which started online as #occupyflagstaffhouse or #occupyflagstaff, and generated into an offline protest. On July 1, 2014 protesters demonstrated at the Efua Sutherland Children's Park in Ghana's capital Accra, and subsequently moved to The Flagstaff House, Ghana's presidential palace, to present their petition to the president John Dramani', what is the most important word as per explainability?",Ghana,17.789478,-0.465490,-1.181532,-24.505411,1.560669,122.612686
"In the Wikipedia excerpt: 'The 41st Hong Kong Film Awards presentation ceremony took place at Hong Kong Cultural Centre on 16 April 2023. Nominations were announced on 9 February 2023. The Sparring Partner received 16 nominations most for any film and Detective vs Sleuths, Warriors of Future, and Table for Six with 11 nominations each were second.To My Nineteen Year-Old Self surprisingly won the Best Film award, which', what is the most important word as per explainability?",41st,13.256669,2.106901,-0.985179,-16.443766,-2.767491,114.150833
"In the Wikipedia excerpt: 'The 13N was a Cacerolazo against President Cristina Fernández de Kirchner that took place in Argentina on November 13, 2014. It was organized by social networks. The people in the demonstration protested against the high crime rate, the high inflation and the corruption scandals. The people met in the streets Santa Fe and Callao, and then marched to the Plaza de Mayo, which gathered', what is the most important word as per explainability?",13N,11.040701,5.534122,0.699011,-7.743673,-2.317656,117.180695
"In the Wikipedia excerpt: 'The Cemfjord was a Cyprus-registered cargo ship which foundered in the Pentland Firth off the north-east coast of Scotland on 2 January 2015. Built as the general cargo ship Margareta in 1984, she was converted to carry cement in 1998 and was en route from Aalborg, Denmark to Runcorn, Cheshire, United Kingdom when she capsized in bad weather and sank in 82 metres (270', what is the most important word as per explainability?",Cemfjord,7.110443,8.676552,-0.991608,-39.312458,1.170247,111.128571
"In the Wikipedia excerpt: 'The 2014 Paris Municipal elections took place on 23 and 30 March 2014, at the same time as other French municipal elections. Anne Hidalgo of the Socialist Party was elected mayor of Paris, becoming the first woman to hold that position. She had been the city's deputy mayor. Hidalgo won with around 55% of the vote in the second round. Her principal opponent was', what is the most important word as per explainability?",2014,13.575150,2.971007,0.098103,-24.152260,-2.986634,117.723480
"In the Wikipedia excerpt: 'A concert and rally took place on 22 February 2023 at Luzhniki Stadium in Moscow. TASS reported that the rally commemorated Defender of the Fatherland Day. Ukrainska Pravda stated that the date was selected in reference to the starting date of the 2022 Russian invasion of Ukraine, 24 February 2022.RBC reported that President Vladimir Putin was expected to make an appearance, and RIA Novosti', what is the most important word as per explainability?",Moscow,7.235821,8.555660,-0.204489,-49.515686,-2.753598,113.493874
"In the Wikipedia excerpt: 'The 2014 Iquique earthquake struck off the coast of Chile on 1 April, with a moment magnitude of 8.2, at 20:46 local time (23:46 UTC). The epicenter of the earthquake was approximately 95 kilometres (59 mi) northwest of Iquique. The mainshock was preceded by a number of moderate to large shocks and was followed by a large number of moderate to very large aftershocks,', what is the most important word as per explainability?",2014,15.395639,2.722898,-0.974727,-38.334797,-1.868340,118.898277
"In the Wikipedia excerpt: 'On January 19, 2023, the United States hit its debt ceiling, beginning an ongoing debt-ceiling crisis. In response, Janet Yellen, the secretary of the treasury, began enacting temporary ""extraordinary measures"". The crisis is part of a political debate within Congress about federal government spending and the national debt that the U.S. government accrues.In the United States, the debt ceiling is a limit on how', what is the most important word as per explainability?",Congress,11.970551,3.901693,-0.616165,-25.093271,-3.307467,118.330307
"In the Wikipedia excerpt: 'The 2014 Gaza War, also known as Operation Protective Edge (Hebrew: מִבְצָע צוּק אֵיתָן, romanized: Miv'tza Tzuk Eitan, lit. 'Operation Strong Cliff'), was a military operation launched by Israel on 8 July 2014 in the Gaza Strip, a Palestinian territory that has been governed by Hamas since 2007. Following the kidnapping and murder of three Israeli teenagers in the West Bank by Hamas-affiliated Palestinian', what is the most important word as per explainability?",2014,15.988639,2.106062,-1.380293,-45.705822,-2.487842,115.782700
"In the Wikipedia excerpt: 'The 2014 G20 Brisbane summit was the ninth meeting of the G20 heads of government/heads of state. It was held in Brisbane, the capital city of Queensland, Australia, on 15–16 November 2014. The hosting venue was the Brisbane Convention & Exhibition Centre at South Brisbane. The event was the largest ever peacetime police operation in Australia.On 1 December 2013 Brisbane became the official host', what is the most important word as per explainability?",2014,15.147042,2.300681,-0.950728,-24.546516,-0.852420,123.191139
"In the Wikipedia excerpt: 'Spectra is the name of a series of art installations by Ryoji Ikeda which use intense white light as a sculptural material. The most recent presentation of spectra was in Hobart, Tasmania, Australia for four days ending 24 June, 2018 to mark the winter solstice, and as an installation piece at the Dark Mofo festival held by MONA. spectra [Amsterdam] was the first presentation', what is the most important word as per explainability?",Spectra,9.979174,7.391722,-2.259996,-23.630371,-0.936318,114.984886
"In the Wikipedia excerpt: 'On the morning of 18 November 2014, two Palestinian men from Jerusalem entered Kehilat Bnei Torah synagogue, in the Har Nof neighborhood of Jerusalem, and attacked the praying congregants with axes, knives, and a gun. They killed four dual-nationality worshippers, and critically wounded a responding Druze Israeli police officer, who later died of his wounds. They also injured seven male worshippers, one of whom', what is the most important word as per explainability?",two,10.184615,5.851161,0.527577,-22.741970,-1.688898,114.861603
"In the Wikipedia excerpt: 'The Local Audit and Accountability Act 2014 is a United Kingdom act of parliament. Its main provisions: abolish the Audit Commission and repeal the Audit Commission Act 1998 (section 1) establish new arrangements for the audit and accountability of local public bodies ensure increases set by levying bodies are taken into account when local authorities determine whether they have set an excessive amount of', what is the most important word as per explainability?",1998,17.328413,-0.140721,-0.208689,-49.337574,-1.781252,112.067352
"In the Wikipedia excerpt: 'Marius (6 February 2012 – 9 February 2014) was a male giraffe living at Copenhagen Zoo. Though healthy, he was genetically unsuitable for future captive breeding, as his genes were over-represented in the captive population, so the zoo authorities decided to euthanize him. Despite several offers to adopt Marius and an online petition to save him, he was killed on 9 February 2014. His', what is the most important word as per explainability?",Marius,7.908566,8.838928,-0.793607,-22.574961,-4.108360,114.669167
"In the Wikipedia excerpt: 'Miss Philippines Earth 2023 was the 23rd edition of the Miss Philippines Earth pageant, it was held at the Toledo City Sports Center in Toledo, Cebu, Philippines on April 29, 2023.At the end of the event, Jenny Ramp of Santa Ignacia, Tarlac crowned Yllana Marie Aduana of Siniloan, Laguna. Her title makes her eligible to represent Philippines at the Miss Earth 2023 competition in', what is the most important word as per explainability?",Philippines,12.295768,4.653283,-0.289032,-36.026134,-0.644868,118.494110
"In the Wikipedia excerpt: 'The Eurovision Debate is a live televised debate between the lead political candidates (“Spitzenkandidaten”) running to be the next President of the European Commission. Produced by the European Broadcasting Union (EBU) and broadcast across Europe via the Eurovision network, it is hosted by the European Parliament in Brussels, Belgium. The aim of the debate is to help public service media play their role in', what is the most important word as per explainability?",Spitzenkandidaten,11.684710,5.550302,-0.512259,-22.288980,-0.878623,117.748940
"In the Wikipedia excerpt: 'A photograph of then-Labour Party leader Ed Miliband eating a bacon sandwich became a source of sustained commentary and the subject of an internet meme in 2014 and 2015. Taken for the London Evening Standard newspaper while Miliband was campaigning for local elections in May 2014, the image became well known following the popular perception of it as making Miliband appear awkward, error-prone and', what is the most important word as per explainability?",2014,15.964266,0.693615,-0.595798,-26.439066,-3.838140,114.894241
"In the Wikipedia excerpt: 'The removal of Indonesia as FIFA U-20 World Cup 2023 hosts was a political controversy that occurred in March 2023, when FIFA, the world governing body of association football, decided to strip Indonesia of its hosting rights for the 2023 FIFA U-20 World Cup, a youth football tournament that was scheduled to take place in May 2023. The decision was made due to the', what is the most important word as per explainability?",Indonesia,11.634536,4.917752,0.429889,-20.830986,-0.413985,117.617233
"In the Wikipedia excerpt: 'Armenia participated in the Junior Eurovision Song Contest 2014 which took place on 15 November 2014, in Marsa, Malta. The Armenian broadcaster Armenia 1 (ARMTV) was responsible for organising their entry for the contest. The Armenian entry was selected through a national final held on 14 September 2014. Betty and her song ""People of the Sun"" was chosen to represent the nation in Marsa,', what is the most important word as per explainability?",Armenia,10.475076,7.202599,-1.253435,-18.727806,-0.928093,115.432121
"In the Wikipedia excerpt: 'This article is about the 2023 flower protests in Russia. There have also been other flower protests, e.g. in Myanmar in 2021 on Suu Kyi's 76th birthday Flower protests are a wave of peaceful, silent protests in Russia, started in January 2023, against the 2022 Russian invasion of Ukraine. Citizens in various cities in Russia choose places that have some connection to Ukraine or', what is the most important word as per explainability?",2023,10.924322,5.471674,0.107172,-21.106985,-3.820875,117.738129
"In the Wikipedia excerpt: 'The 2023 Chinese military exercises around Taiwan (simplified Chinese: 2023年环台军事演练; traditional Chinese: 2023年環台軍事演練) are a series of ongoing military exercises by the People's Liberation Army (PLA) of the People's Republic of China (PRC) encircling Taiwan (the Republic of China, ROC). On 8 April 2023, the PLA announced the start of ""combat readiness patrols"" and dispatched dozens of fighter jets and several warships toward Taiwan.', what is the most important word as per explainability?",2023,12.571895,5.250489,-1.853006,-17.085302,0.935769,118.991341
"In the Wikipedia excerpt: 'The 2014 Vorarlberg state election was held on 21 September 2014 to elect the members of the Landtag of Vorarlberg. The Austrian People's Party (ÖVP) suffered substantial losses, and was deprived of its majority in the Landtag. The second-placed Freedom Party of Austria (FPÖ) and Social Democratic Party of Austria (SPÖ) retained their position with minor losses. The beneficiaries of the ÖVP's defeat were', what is the most important word as per explainability?",2014,13.462242,3.859379,0.521656,-31.484840,-1.579642,111.768417
"In the Wikipedia excerpt: 'In 2022, heavy tensions broke out between the Democratic Republic of the Congo and Rwanda, which have led to several alleged attacks by Congolese and Rwandan forces on each other's territory. Rwandan forces have been caught crossing into the DRC multiple times, usually fighting alongside Congolese rebels. The crisis is related to an ongoing offensive beginning in March 2022 by the March 23 Movement', what is the most important word as per explainability?",2022,14.700558,3.260049,-1.898520,-25.963913,-2.114017,118.695145
"In the Wikipedia excerpt: 'The 59th Baeksang Arts Awards (Korean: 제59회 백상예술대상) ceremony, organised by Ilgan Sports and JTBC Plus, was held at Incheon Paradise City, Incheon on April 28, 2023, at 17:30 KST. The event was hosted by Shin Dong-yup, Bae Suzy, and Park Bo-gum and was broadcast live in South Korea by JTBC and internationally by TikTok.The annual awards ceremony is one of South Korea's most', what is the most important word as per explainability?",Korean,7.970118,7.717092,-0.733243,-44.140823,-3.181940,118.218193
"In the Wikipedia excerpt: 'Binibining Pilipinas 2023 will be the 59th edition of Binibining Pilipinas to be held on May 28, 2023 at the Smart Araneta Coliseum in Quezon City, Metro Manila, Philippines.At the end of the event, Nicole Borromeo and Chelsea Fernandez will crown their respective successors. Only two titles will be awarded this edition after Binibining Pilipinas Charities, Inc. lost the franchise for Binibining Pilipinas Grand', what is the most important word as per explainability?",2023,13.830748,3.221352,-0.062833,-27.948193,-1.877199,118.261482
"In the Wikipedia excerpt: 'The 2023 South African National Shutdown was a protest held by the political party EFF on 20 March 2023, the day before Human Rights Day. The EFF called for the resignation of President Cyril Ramaphosa and an end to load-shedding. The leader of the EFF, Julius Malema, warned businesses countrywide to close their doors or risk being looted by them.The Mail and Guardian speculated', what is the most important word as per explainability?",2023,12.528865,4.456998,-0.229718,-29.629868,-1.354824,115.674850
"In the Wikipedia excerpt: 'Blockupy is a movement protesting against austerity. The Blockupy alliance includes trade unions and Germany's Linkspartei.Representing grass-roots critics of supranational financial institutions such as the “troika”: the European Commission (EC), European Central Bank (ECB) and International Monetary Fund (IMF), its name is derived from the Occupy movement which sprang up in Wall Street in 2011.Organisers have verbally supported (since July 2015, former) Greek finance', what is the most important word as per explainability?",Germany,13.725362,2.481262,-0.586145,-17.363945,-1.964620,121.066711
"In the Wikipedia excerpt: 'The 2023 Belgian Cup Final, named Croky Cup after the sponsor, will be the 68th Belgian Cup final and is scheduled to be played on 30 April 2023. KV Mechelen qualified for its seventh Belgian Cup Final on 28 February 2023, and already won the tournament twice, first in 1987 and more recently in 2019. Two days later, Antwerp also qualified, which will be', what is the most important word as per explainability?",2023,13.928696,3.424052,0.108380,-26.257267,-1.603635,114.875481
"In the Wikipedia excerpt: 'The FATCA agreement is an international agreement signed between Canada and the United States that allows the implementation of the Foreign Account Tax Compliance Act (an Act of the U.S. Congress) in Canada. It is one of 30 intergovernmental agreements the US has concluded with other countries to implement the FATCA.FATCA requires United States persons, including individuals who live outside the United States, and', what is the most important word as per explainability?",FATCA,7.559897,8.989898,-0.506627,-28.008236,-1.987071,114.131340
"In the Wikipedia excerpt: 'The floods in South Africa in February-March 2023 were caused by heavy rainfall as a result of the La Niña weather phenomenon, affecting seven provinces, including Eastern Cape, Northern Cape, Mpumalanga, KwaZulu-Natal, and North West. The floods have caused casualties and damage to homes, businesses, basic infrastructure, roads, bridges and affected crops and livestock. At least twelve people have died across the provinces and', what is the most important word as per explainability?",seven,16.319008,1.695612,-0.891609,-36.798340,-1.223769,115.029785
"In the Wikipedia excerpt: 'The 2014 Toronto FC season was the eighth season in club history. During the off-season, Toronto FC agreed to a one-year partnership with USL outfit Wilmington Hammerheads. Jackson, Justin Morrow, Dwayne De Rosario, Gilberto, Michael Bradley, Jermain Defoe, Bradley Orr, Collen Warner, Luke Moore, Dominic Oduro, Warren Creavalle and Júlio César came to Toronto. Toronto opened pre-season on January 24. Toronto will start the', what is the most important word as per explainability?",2014,13.822172,2.560243,-0.059426,-36.627575,-2.980955,121.907669
"In the Wikipedia excerpt: 'March in March refers to a series of marches which were held around Australia on 15–16 March 2014, and in Canberra, the national capital, on 17 March 2014, a parliamentary sitting day. The marches were attended by at least eighty thousand people across Australia and were peaceful (The Sydney Morning Herald reported 112,000). Senator Scott Ludlam tabled the statement of no confidence in the', what is the most important word as per explainability?",March,15.158326,1.511575,-0.092723,-18.434301,-3.683262,120.936989
"In the Wikipedia excerpt: 'The 2023 Backlash is the upcoming 18th Backlash professional wrestling pay-per-view (PPV) and livestreaming event produced by WWE. It will be held for wrestlers from the promotion's Raw and SmackDown brand divisions. The event will take place on Saturday, May 6, 2023, at the Coliseo de Puerto Rico José Miguel Agrelot in San Juan, Puerto Rico. This will be the first WWE event held', what is the most important word as per explainability?",2023,14.516624,2.748403,-1.269572,-33.791447,-1.090420,117.732506
"In the Wikipedia excerpt: '2013–2014 Atlantic winter storms in Europe were a series of winter storms affecting areas of Atlantic Europe and beyond. The French Atlantic coastal regions (chiefly Brittany), South West and Southern England, West Wales, Ireland, Spanish Atlantic coastal regions (particularly Galicia) were especially affected by a ""conveyor belt"" series of high-precipitation storms (mostly not exceptional for their winds) and by high tides. Many storms were', what is the most important word as per explainability?",Europe,15.264979,2.031181,-0.022151,-43.278862,-2.962146,115.253960
"In the Wikipedia excerpt: 'Conference of Western Balkan States was a 28 August 2014 conference of heads of states and governments of Western Balkans region initiated by German chancellor Angela Merkel. An idea for organization of conference came in light of the celebration of the 100th anniversary of the beginning of World War I. It is the first conference in this framework and organizers expressed their desire to', what is the most important word as per explainability?",28,13.946169,2.791124,0.555525,-34.326515,-3.292223,111.094513
